filename,arrival,max_sta_lta,max_sta_lta_time,mean_sta_lta,var_sta_lta,max_amp,max_amp_time,min_amp,min_amp_time,mean_amp,rms_amp,event_duration,sta_lta_start_time,sta_lta_end_time
xa.s12.00.mhz.1970-01-19HR00_evid00002,73499.335,2.3743396194019453,37625.811321,1.0150386823549844,0.32619097062039126,7.168520395799115e-09,73991.54717,-7.097312709507338e-09,73990.943396,2.723002749553277e-20,3.000851904748347e-10,0.0,,
xa.s12.00.mhz.1970-03-25HR00_evid00003,12719.56,2.295762467193048,16873.962264,0.9953770712072907,0.03938874454044212,4.337924161380962e-09,13448.90566,-4.348940486367853e-09,13449.509434,2.426279770378698e-21,2.3180994794159298e-10,0.0,,
xa.s12.00.mhz.1970-03-26HR00_evid00004,73019.435,2.374339579085511,24264.150943,0.9985017050994038,0.09686932550734689,5.446156326016185e-09,73572.377358,-5.906712413911038e-09,73571.773585,1.21610125846558e-20,2.508908800238499e-10,0.0,,
xa.s12.00.mhz.1970-04-25HR00_evid00006,4439.804,2.3108636992980904,474.867925,0.994061653983757,0.07750479200402184,6.482010883861375e-09,5300.679245,-6.443661230225243e-09,5301.283019,-4.978127728501445e-21,2.935849062133576e-10,0.0,,
xa.s12.00.mhz.1970-04-26HR00_evid00007,52139.34,2.296393971539037,474.716981,0.9937443060882033,0.05052906652127624,3.570015638067546e-09,52970.113208,-3.922369524153915e-09,52514.264151,-3.5397009105140457e-22,2.289005782717845e-10,0.0,,
xa.s12.00.mhz.1970-06-15HR00_evid00008,68399.49,2.374319022254518,40231.245283,1.001782737482123,0.24236145940292245,1.4797997611362838e-08,69035.773585,-1.5098018038626886e-08,69036.377358,3.510786924612665e-23,4.775516746788794e-10,0.0,,
xa.s12.00.mhz.1970-06-26HR00_evid00009,72059.884,2.361362021799633,72323.018868,0.9910466104440574,0.0329528856126416,4.67222224043075e-08,72857.056604,-4.5813417493115866e-08,72857.660377,3.3836195243247215e-22,1.3536387602612676e-09,0.0,,
xa.s12.00.mhz.1970-07-20HR00_evid00010,18359.513,2.3186535848776444,40338.264151,0.9900826354611455,0.10738342008082823,1.6734899718309147e-08,18932.226415,-1.5953463899158444e-08,18932.830189,6.389654967209176e-22,6.603928538350072e-10,0.0,,
xa.s12.00.mhz.1970-07-20HR00_evid00011,42239.513,2.3186535848776444,40338.264151,0.9900826354611455,0.10738342008082823,1.6734899718309147e-08,18932.226415,-1.5953463899158444e-08,18932.830189,6.389654967209176e-22,6.603928538350072e-10,0.0,,
xa.s12.00.mhz.1970-09-26HR00_evid00013,71819.851,2.350602424101149,486.943396,0.9992201756368297,0.14721261347695083,4.273224550791654e-09,72913.207547,-4.379620773799254e-09,72913.811321,2.1841149385642453e-23,2.3001433933118496e-10,0.0,,
xa.s12.00.mhz.1970-10-24HR00_evid00014,41459.496,2.37421440358452,17125.584906,0.9914636132203709,0.14727040227050833,9.164898211890632e-09,62274.566038,-8.286702871058601e-09,62275.320755,8.202056289229511e-22,2.3363876639225045e-10,0.0,,
xa.s12.00.mhz.1970-11-12HR00_evid00015,46199.3,2.374339106967707,73442.716981,1.011845300192618,0.39643512103382345,5.833504870608159e-09,47183.698113,-5.6214205971980005e-09,46852.830189,1.4623645658960544e-22,2.431879596496127e-10,0.0,,
xa.s12.00.mhz.1970-12-11HR00_evid00017,26519.674,2.374183222189526,26831.245283,1.000773049083524,0.20187261078078847,3.725593087021406e-09,27249.056604,-3.906457599372736e-09,27249.660377,1.9170404072685424e-22,2.0458063532325336e-10,0.0,,
xa.s12.00.mhz.1970-12-27HR00_evid00019,74039.483,2.322744748718091,477.886792,0.9943991325150913,0.04415664741282724,4.984865592742608e-09,74374.188679,-5.2565146717838795e-09,74373.584906,4.5030296901053496e-23,2.567467028357622e-10,0.0,,
xa.s12.00.mhz.1970-12-31HR00_evid00021,56459.661,2.3743395755414887,8898.113208,0.9946529091386374,0.05903438156206085,5.9012996731910745e-09,55957.283019,-5.440678308024711e-09,55926.943396,-1.718848747321831e-21,2.36499889153792e-10,0.0,,
xa.s12.00.mhz.1971-01-15HR00_evid00022,45599.742,2.3740819326040907,44680.754717,0.9919962890910479,0.27579041145455463,5.498765341143204e-09,46575.849057,-5.205990468060274e-09,46576.45283,8.090505328044918e-24,2.57754985021893e-10,0.0,,
xa.s12.00.mhz.1971-01-28HR00_evid00023,53939.766,2.3420852047254055,43156.830189,0.9953783647443105,0.04927394110673257,1.6004210880190627e-08,43124.679245,-1.611684544736702e-08,43105.962264,2.992120264008568e-22,2.3280835514543108e-10,0.0,,
xa.s12.00.mhz.1971-01-29HR00_evid00024,66059.806,2.374281808524521,60278.943396,0.9970749746777231,0.06619482443686041,3.5189507123416774e-09,66580.830189,-4.006183842602103e-09,56026.566038,5.411367436749177e-22,2.3415319680585633e-10,0.0,,
